,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,track_id,Position,Track Name,Artist,Streams,date,track_id
607,0.8440000000000001,0.287,134.868,0.0756,0.142,0.0,4,0.612,5,196776,-4.694,0.653,0,3ryjLm3oupIjJFGc39naNi,8,dimple,BTS,44619,2017-09-17,3ryjLm3oupIjJFGc39naNi
11807,0.617,0.3,143.894,0.331,0.24100000000000002,0.0,4,0.8390000000000001,7,194426,-4.692,0.821,1,4as4XEOR03oGm1STUKl6pa,8,BBIBBI,IU,93054,2018-10-14,4as4XEOR03oGm1STUKl6pa
17007,0.87,0.313,86.62200000000001,0.342,0.0278,0.0,4,0.469,9,171023,-4.475,0.652,0,2isSdmQfVv32j2haL6hk9x,8,Intro : Persona,BTS,197047,2019-04-14,2isSdmQfVv32j2haL6hk9x
21407,0.6609999999999999,0.17600000000000002,90.015,0.0453,0.27699999999999997,0.00022,4,0.6809999999999999,8,207705,-6.23,0.39299999999999996,1,6N6gsaHf5GYJAvEKfg6iEv,8,ดวงใจ,Palmy,245615,2019-09-15,6N6gsaHf5GYJAvEKfg6iEv
8807,0.317,0.11,103.001,0.0583,0.49700000000000005,0.0128,4,0.825,10,245787,-12.39,0.136,1,36ONiya0OANYknz0GgJmwB,8,Don’t Matter To Me,Drake,89639,2018-07-01,36ONiya0OANYknz0GgJmwB
19807,0.682,0.0763,110.56700000000001,0.0925,0.153,0.0,5,0.47700000000000004,1,202205,-4.931,0.345,0,6b2RcmUt1g9N9mQ3CbjX2Y,8,How Do You Sleep?,Sam Smith,192432,2019-07-21,6b2RcmUt1g9N9mQ3CbjX2Y
7,0.53,0.39399999999999996,75.016,0.142,0.207,0.0,4,0.6829999999999999,5,190428,-4.918,0.645,0,7F9vK8hNFMml4GtHsaXui6,8,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,37166,2017-08-27,7F9vK8hNFMml4GtHsaXui6
8,0.65,0.225,144.937,0.0591,0.21899999999999997,0.0,4,0.5479999999999999,8,194897,-5.827000000000001,0.557,0,3A7qX2QjDlPnazUsRk5y0M,9,2U (feat. Justin Bieber),David Guetta,37065,2017-08-27,3A7qX2QjDlPnazUsRk5y0M
9808,0.672,0.205,127.986,0.0732,0.465,0.0,4,0.76,9,193734,-5.277,0.505,0,27kB4qLUCV8nZd2eOgj1Tk,9,KILLING ME,iKON,81488,2018-08-05,27kB4qLUCV8nZd2eOgj1Tk
608,0.7120000000000001,0.268,94.051,0.0326,0.2,0.0,4,0.583,2,245621,-4.942,0.7759999999999999,0,0ffweDHrg4bZqdG4IfGYuo,9,Pied Piper,BTS,44293,2017-09-17,0ffweDHrg4bZqdG4IfGYuo
20009,0.619,0.133,75.0,0.0288,0.353,0.0,4,0.541,8,256500,-5.928,0.442,0,2qlfZhBPWq5FH3FwlZKGws,10,ไปได้ดี,Wanyai,187657,2019-07-28,2qlfZhBPWq5FH3FwlZKGws
20209,0.795,0.159,190.097,0.461,0.11900000000000001,0.0,4,0.4,10,186107,-3.7310000000000003,0.7020000000000001,0,0Ryd8975WihbObpp5cPW1t,10,boyfriend (with Social House),Ariana Grande,212108,2019-08-04,0Ryd8975WihbObpp5cPW1t
4409,0.736,0.0553,149.985,0.0457,0.191,0.0,4,0.7140000000000001,2,210818,-3.801,0.8140000000000001,1,5GKwq4sO5ZHKuWaDmdwMQc,10,Bad Boy,Red Velvet,55075,2018-01-28,5GKwq4sO5ZHKuWaDmdwMQc
